N,Time,PS,TS,GM,BG,BF
0,924.4487,100,100,1000,1000,4
1,881.8615,100,100,1000,1000,4
2,874.5649,100,100,1000,1000,3
3,877.4345,100,100,1000,1000,5
4,875.4874,100,100,1000,1000,4
5,868.3097,100,100,1000,1000,4
6,872.8632,100,100,1000,1000,4
7,869.5399,100,100,1000,1000,5
8,872.4674,100,100,1000,1000,2
9,874.8362,100,100,1000,1000,3
10,871.789,100,100,1000,1000,4
11,861.5256,100,100,1000,1000,3
12,873.0792,100,100,1000,1000,4
13,879.4925,100,100,1000,1000,2
14,874.7836,100,100,1000,1000,3
15,870.6893,100,100,1000,1000,4
16,885.4369,100,100,1000,1000,3
17,885.2486,100,100,1000,1000,2
18,890.7788,100,100,1000,1000,4
19,885.1598,100,100,1000,1000,2
20,878.752,100,100,1000,1000,2
21,888.8151,100,100,1000,1000,5
22,885.772,100,100,1000,1000,4
23,880.6941,100,100,1000,1000,5
24,878.9455,100,100,1000,1000,5
25,890.7806,100,100,1000,1000,5
26,869.9767,100,100,1000,1000,3
27,864.1397,100,100,1000,1000,5
28,863.9098,100,100,1000,1000,1
29,872.0041,100,100,1000,1000,4
30,867.7797,100,100,1000,1000,2
31,866.1844,100,100,1000,1000,3
32,867.5424,100,100,1000,1000,3
33,860.8381,100,100,1000,1000,4
34,865.4646,100,100,1000,1000,4
35,864.1199,100,100,1000,1000,3
36,866.0535,100,100,1000,1000,3
37,863.5556,100,100,1000,1000,3
38,867.887,100,100,1000,1000,3
39,862.2462,100,100,1000,1000,4
40,862.1597,100,100,1000,1000,5
41,861.2826,100,100,1000,1000,4
42,863.4662,100,100,1000,1000,4
43,859.4452,100,100,1000,1000,3
44,866.4361,100,100,1000,1000,2
45,875.5154,100,100,1000,1000,3
46,871.7706,100,100,1000,1000,3
47,872.3691,100,100,1000,1000,4
48,867.3318,100,100,1000,1000,3
49,871.0263,100,100,1000,1000,4
50,868.7076,100,100,1000,1000,3
51,865.6792,100,100,1000,1000,4
52,867.012,100,100,1000,1000,4
53,869.5005,100,100,1000,1000,5
54,871.7126,100,100,1000,1000,6
55,866.4552,100,100,1000,1000,4
56,867.0696,100,100,1000,1000,4
57,881.8774,100,100,1000,1000,4
58,871.6541,100,100,1000,1000,4
59,869.9659,100,100,1000,1000,5
60,867.465,100,100,1000,1000,3
61,867.6863,100,100,1000,1000,4
62,870.6482,100,100,1000,1000,4
63,868.075,100,100,1000,1000,3
64,867.9569,100,100,1000,1000,4
65,871.6722,100,100,1000,1000,4
66,858.5862,100,100,1000,1000,4
67,860.6507,100,100,1000,1000,3
68,861.2555,100,100,1000,1000,4
69,861.1783,100,100,1000,1000,5
70,863.0275,100,100,1000,1000,3
71,861.8337,100,100,1000,1000,4
72,866.0644,100,100,1000,1000,4
73,869.9126,100,100,1000,1000,3
74,874.2179,100,100,1000,1000,4
75,862.4169,100,100,1000,1000,2
76,865.3152,100,100,1000,1000,3
77,855.776,100,100,1000,1000,3
78,867.387,100,100,1000,1000,4
79,869.4944,100,100,1000,1000,3
80,868.5731,100,100,1000,1000,4
81,886.0194,100,100,1000,1000,5
82,866.6443,100,100,1000,1000,3
83,871.5295,100,100,1000,1000,5
84,868.2498,100,100,1000,1000,4
85,868.0637,100,100,1000,1000,4
86,873.0423,100,100,1000,1000,4
87,863.0525,100,100,1000,1000,4
88,867.0586,100,100,1000,1000,3
89,859.3993,100,100,1000,1000,5
90,860.8742,100,100,1000,1000,4
91,861.1621,100,100,1000,1000,3
92,861.1327,100,100,1000,1000,4
93,860.4019,100,100,1000,1000,3
94,860.2364,100,100,1000,1000,1
95,857.213,100,100,1000,1000,3
96,876.8244,100,100,1000,1000,4
97,868.1196,100,100,1000,1000,4
98,867.1918,100,100,1000,1000,4
99,867.7442,100,100,1000,1000,3
