N,Time,PS,TS,GM,BG,BF
0,900.8213,100,5,1000,1000,3
1,829.138,100,5,1000,1000,4
2,812.0808,100,5,1000,1000,3
3,797.2282,100,5,1000,1000,4
4,793.4241,100,5,1000,1000,3
5,797.5256,100,5,1000,1000,4
6,794.376,100,5,1000,1000,4
7,806.1671,100,5,1000,1000,3
8,803.9881,100,5,1000,1000,5
9,800.7809,100,5,1000,1000,3
10,792.7368,100,5,1000,1000,5
11,796.3957,100,5,1000,1000,3
12,795.5597,100,5,1000,1000,3
13,795.0634,100,5,1000,1000,5
14,798.4927,100,5,1000,1000,3
15,796.7164,100,5,1000,1000,4
16,799.1623,100,5,1000,1000,3
17,798.7409,100,5,1000,1000,2
18,798.5432,100,5,1000,1000,3
19,816.132,100,5,1000,1000,3
20,810.4309,100,5,1000,1000,3
21,800.0528,100,5,1000,1000,3
22,799.8065,100,5,1000,1000,4
23,801.2723,100,5,1000,1000,3
24,798.2859,100,5,1000,1000,4
25,801.1414,100,5,1000,1000,3
26,800.833,100,5,1000,1000,4
27,800.0799,100,5,1000,1000,4
28,799.369,100,5,1000,1000,3
29,794.893,100,5,1000,1000,4
30,798.6455,100,5,1000,1000,3
31,796.2736,100,5,1000,1000,3
32,796.9845,100,5,1000,1000,4
33,797.6997,100,5,1000,1000,4
34,797.8669,100,5,1000,1000,3
35,795.6992,100,5,1000,1000,6
36,798.6613,100,5,1000,1000,4
37,798.6025,100,5,1000,1000,4
38,799.637,100,5,1000,1000,4
39,799.2564,100,5,1000,1000,3
40,797.7451,100,5,1000,1000,5
41,794.4638,100,5,1000,1000,4
42,812.7451,100,5,1000,1000,4
43,797.8195,100,5,1000,1000,5
44,803.7478,100,5,1000,1000,4
45,792.851,100,5,1000,1000,4
46,797.5452,100,5,1000,1000,5
47,793.7767,100,5,1000,1000,5
48,795.8505,100,5,1000,1000,4
49,794.6731,100,5,1000,1000,2
50,797.665,100,5,1000,1000,2
51,797.4579,100,5,1000,1000,4
52,796.0664,100,5,1000,1000,4
53,804.8592,100,5,1000,1000,2
54,802.4581,100,5,1000,1000,5
55,799.4532,100,5,1000,1000,3
56,795.5994,100,5,1000,1000,6
57,797.2161,100,5,1000,1000,3
58,800.7978,100,5,1000,1000,2
59,801.2649,100,5,1000,1000,4
60,791.6805,100,5,1000,1000,3
61,794.3865,100,5,1000,1000,4
62,796.6343,100,5,1000,1000,2
63,802.4756,100,5,1000,1000,5
64,793.4065,100,5,1000,1000,4
65,791.3186,100,5,1000,1000,4
66,793.9407,100,5,1000,1000,4
67,800.2571,100,5,1000,1000,4
68,801.8534,100,5,1000,1000,4
69,801.0967,100,5,1000,1000,4
70,800.7258,100,5,1000,1000,4
71,801.1021,100,5,1000,1000,3
72,799.0908,100,5,1000,1000,5
73,807.4001,100,5,1000,1000,3
74,802.2364,100,5,1000,1000,4
75,793.4635,100,5,1000,1000,4
76,793.9125,100,5,1000,1000,4
77,792.8355,100,5,1000,1000,4
78,793.862,100,5,1000,1000,3
79,794.5889,100,5,1000,1000,4
80,793.7504,100,5,1000,1000,3
81,787.4499,100,5,1000,1000,4
82,807.3776,100,5,1000,1000,4
83,812.2655,100,5,1000,1000,3
84,797.1424,100,5,1000,1000,2
85,798.7691,100,5,1000,1000,4
86,802.3332,100,5,1000,1000,3
87,798.0119,100,5,1000,1000,3
88,798.4458,100,5,1000,1000,4
89,799.0793,100,5,1000,1000,5
90,802.3055,100,5,1000,1000,3
91,798.5162,100,5,1000,1000,2
92,801.7656,100,5,1000,1000,5
93,807.1985,100,5,1000,1000,2
94,800.1108,100,5,1000,1000,3
95,796.2196,100,5,1000,1000,5
96,798.6226,100,5,1000,1000,4
97,799.4117,100,5,1000,1000,3
98,799.3252,100,5,1000,1000,4
99,799.8438,100,5,1000,1000,3
