N,Time,PS,TS,GM,BG,BF
0,877.3095,100,15,1000,1000,5
1,821.7631,100,15,1000,1000,4
2,809.2565,100,15,1000,1000,4
3,801.4326,100,15,1000,1000,5
4,801.795,100,15,1000,1000,4
5,800.742,100,15,1000,1000,5
6,800.6642,100,15,1000,1000,3
7,798.9148,100,15,1000,1000,3
8,803.6002,100,15,1000,1000,6
9,802.1728,100,15,1000,1000,5
10,801.0059,100,15,1000,1000,3
11,802.332,100,15,1000,1000,5
12,812.9516,100,15,1000,1000,5
13,797.2024,100,15,1000,1000,3
14,803.4666,100,15,1000,1000,4
15,803.1761,100,15,1000,1000,5
16,808.8104,100,15,1000,1000,2
17,808.2027,100,15,1000,1000,3
18,810.7549,100,15,1000,1000,5
19,803.0172,100,15,1000,1000,4
20,800.1254,100,15,1000,1000,3
21,801.0474,100,15,1000,1000,3
22,804.2374,100,15,1000,1000,5
23,803.0335,100,15,1000,1000,4
24,801.072,100,15,1000,1000,5
25,807.8467,100,15,1000,1000,3
26,801.3283,100,15,1000,1000,5
27,803.4328,100,15,1000,1000,4
28,811.5744,100,15,1000,1000,4
29,808.4602,100,15,1000,1000,4
30,803.8014,100,15,1000,1000,2
31,797.3233,100,15,1000,1000,4
32,800.8291,100,15,1000,1000,2
33,802.621,100,15,1000,1000,3
34,801.6652,100,15,1000,1000,4
35,800.6332,100,15,1000,1000,3
36,802.755,100,15,1000,1000,5
37,809.1761,100,15,1000,1000,2
38,800.9254,100,15,1000,1000,4
39,811.171,100,15,1000,1000,4
40,809.8428,100,15,1000,1000,3
41,803.7083,100,15,1000,1000,3
42,803.3662,100,15,1000,1000,5
43,808.1885,100,15,1000,1000,2
44,803.409,100,15,1000,1000,3
45,805.6716,100,15,1000,1000,5
46,802.4878,100,15,1000,1000,3
47,801.1605,100,15,1000,1000,3
48,800.7489,100,15,1000,1000,4
49,802.2558,100,15,1000,1000,4
50,803.04,100,15,1000,1000,5
51,802.9776,100,15,1000,1000,7
52,800.9751,100,15,1000,1000,4
53,804.2882,100,15,1000,1000,2
54,805.7766,100,15,1000,1000,4
55,799.8019,100,15,1000,1000,2
56,810.0918,100,15,1000,1000,3
57,800.4403,100,15,1000,1000,3
58,804.5812,100,15,1000,1000,4
59,801.5654,100,15,1000,1000,3
60,804.1931,100,15,1000,1000,4
61,800.1592,100,15,1000,1000,3
62,804.924,100,15,1000,1000,4
63,816.5389,100,15,1000,1000,3
64,823.2231,100,15,1000,1000,3
65,818.7526,100,15,1000,1000,3
66,823.7488,100,15,1000,1000,3
67,826.3294,100,15,1000,1000,3
68,826.4509,100,15,1000,1000,4
69,829.1088,100,15,1000,1000,6
70,817.8058,100,15,1000,1000,5
71,811.1353,100,15,1000,1000,4
72,823.1458,100,15,1000,1000,4
73,826.6456,100,15,1000,1000,4
74,823.8812,100,15,1000,1000,4
75,816.6112,100,15,1000,1000,3
76,819.435,100,15,1000,1000,6
77,804.5591,100,15,1000,1000,4
78,804.0913,100,15,1000,1000,5
79,802.296,100,15,1000,1000,3
80,811.1017,100,15,1000,1000,3
81,824.1155,100,15,1000,1000,4
82,815.7677,100,15,1000,1000,4
83,809.3151,100,15,1000,1000,2
84,809.2863,100,15,1000,1000,4
85,818.7037,100,15,1000,1000,3
86,809.603,100,15,1000,1000,4
87,808.8539,100,15,1000,1000,4
88,807.511,100,15,1000,1000,3
89,802.3763,100,15,1000,1000,4
90,808.9085,100,15,1000,1000,3
91,807.689,100,15,1000,1000,4
92,804.1955,100,15,1000,1000,3
93,804.5083,100,15,1000,1000,3
94,800.6497,100,15,1000,1000,3
95,808.1195,100,15,1000,1000,4
96,803.4589,100,15,1000,1000,5
97,801.6025,100,15,1000,1000,3
98,810.3668,100,15,1000,1000,3
99,817.6405,100,15,1000,1000,4
