n,BFS-Max,BFS-Enq,BFS-Cls,BFS-T,DFS-Max,DFS-Enq,DFS-Cls,DFS-T,BH1-Max,BH1-Enq,BH1-Cls,BH1-T,BH2-Max,BH2-Enq,BH2-Cls,BH2-T,Hdod-Max,Hdod-Enq,Hdod-Cls,Hdod-T,Sol
4,255,341,200,2.41,12,161,155,0.30,21,29,10,1.74,29,61,32,0.15,107,145,38,0.22,1
5,3124,3906,1140,1.97,20,461,451,0.56,36,156,127,0.20,20,26,6,0.01,2383,3516,1154,3.84,1
6,46655,55987,22092,48.41,30,15331,15316,22.62,230,10123,9937,18.18,1523,4141,2618,5.85,34513,55015,26916,96.16,1
7,823542,960800,182609,729.29,42,52935,52914,84.11,366,76210,75882,98.32,68,92,24,0.06,609404,954157,522832,1725.12,1
8,16777215,19173961,3696597,16369.58,56,1485577,1485549,1899.15,546,152537,152008,414.46,22451,63113,40662,162.28,12407351,19132473,11561787,56626.94,1
